Wavelength Transmission
1.812319628 0.5264560920089439
1.813927720 0.532864950967639
1.815535812 0.53931084746962
1.817143904 0.545769366621826
1.818751996 0.552298871182927
1.820360088 0.558900059166035
1.821968180 0.565539776137086
1.823576272 0.572254419751717
1.825184364 0.579047452901936
1.826792456 0.5859467578780211
1.828400548 0.592913249776157
1.830008640 0.599893499060988
1.831616732 0.6069377573189559
1.833224823 0.614046351986588
1.834832915 0.621140940905049
1.836441007 0.6282726517289671
1.838049099 0.635417476668839
1.839657191 0.6425621731625679
1.841265283 0.6497333447055409
1.842873375 0.656830264816109
1.844481467 0.66397565432088
1.846089559 0.6711694119027889
1.847697651 0.678384873581434
1.849305743 0.685643172253052
1.850913835 0.692900948115586
1.852521927 0.700101737682841
1.854130019 0.7072649815129181
1.855738111 0.714320568493666
